ensg	enst	symbol	chr
ENSG00000215440	ENST00000356091	NPEPL1	20
ENSG00000114790	ENST00000356448	ARHGEF26	3
ENSG00000198049	ENST00000367126	AVPR1B	1
ENSG00000203818	ENST00000392948	HIST2H3PS2	1
ENSG00000138095	ENST00000260665	LRPPRC	2
ENSG00000152904	ENST00000282841	GGPS1	1
ENSG00000137968	ENST00000370855	SLC44A5	1
ENSG00000129484	ENST00000250416	PARP2	14
ENSG00000061455	ENST00000407847	PRDM6	5
ENSG00000055147	ENST00000351797	FAM114A2	5
ENSG00000165555	ENST00000380835	NOXRED1	14
ENSG00000130695	ENST00000252992	CEP85	1
ENSG00000106018	ENST00000262178	VIPR2	7
ENSG00000128159	ENST00000248846	TUBGCP6	22
ENSG00000162643	ENST00000294664	WDR63	1
ENSG00000106648	ENST00000616416	GALNTL5	7
ENSG00000196188	ENST00000358184	CTSE	1
ENSG00000139433	ENST00000318348	GLTP	12
ENSG00000157703	ENST00000419765	SVOPL	7
ENSG00000037749	ENST00000322602	MFAP3	5
ENSG00000160124	ENST00000291458	CCDC58	3
ENSG00000197852	ENST00000357260	FAM212B	1
ENSG00000162624	ENST00000294638	LHX8	1
ENSG00000166224	ENST00000373202	SGPL1	10
ENSG00000166689	ENST00000355661	PLEKHA7	11
ENSG00000121552	ENST00000264474	CSTA	3
ENSG00000111640	ENST00000229239	GAPDH	12
ENSG00000167615	ENST00000326764	LENG8	19
ENSG00000275183	ENST00000611161	LENG9	19
ENSG00000159674	ENST00000617421	SPON2	4
ENSG00000064703	ENST00000369702	DDX20	1
ENSG00000137860	ENST00000347644	SLC28A2	15
ENSG00000204387	ENST00000375640	C6orf48	6
ENSG00000005001	ENST00000161006	PRSS22	16
ENSG00000197125	ENST00000642064	OR8B8	11
ENSG00000151332	ENST00000416007	MBIP	14
ENSG00000160208	ENST00000340648	RRP1B	21
ENSG00000133065	ENST00000367137	SLC41A1	1
ENSG00000095015	ENST00000399503	MAP3K1	5
ENSG00000150991	ENST00000536769	UBC	12
ENSG00000167202	ENST00000300584	TBC1D2B	15
ENSG00000225940	ENST00000438651	C5orf67	5
ENSG00000163285	ENST00000295452	GABRG1	4
ENSG00000177300	ENST00000323319	CLDN22	4
ENSG00000198046	ENST00000504904	ZNF667	19
ENSG00000059588	ENST00000040877	TARBP1	1
ENSG00000004534	ENST00000266022	RBM6	3
ENSG00000204388	ENST00000375650	HSPA1B	6
ENSG00000170571	ENST00000303221	EMB	5
ENSG00000168275	ENST00000366615	COA6	1
ENSG00000169174	ENST00000302118	PCSK9	1
ENSG00000042493	ENST00000263867	CAPG	2
ENSG00000117280	ENST00000367139	RAB29	1
ENSG00000148288	ENST00000372040	GBGT1	9
ENSG00000058056	ENST00000263966	USP13	3
ENSG00000179477	ENST00000319144	ALOX12B	17
ENSG00000139218	ENST00000369367	SCAF11	12
ENSG00000196365	ENST00000360614	LONP1	19
ENSG00000129048	ENST00000249887	ACKR4	3
ENSG00000197849	ENST00000641972	OR8G1	11
ENSG00000250361	ENST00000502664	GYPB	4
ENSG00000172346	ENST00000306149	CSDC2	22
ENSG00000180479	ENST00000328550	ZNF571	19
ENSG00000198353	ENST00000430889	HOXC4	12
ENSG00000116337	ENST00000256578	AMPD2	1
ENSG00000180245	ENST00000317735	RRH	4
ENSG00000087087	ENST00000611405	SRRT	7
ENSG00000241484	ENST00000389774	ARHGAP8	22
ENSG00000143028	ENST00000369872	SYPL2	1
ENSG00000106012	ENST00000476665	IQCE	7
ENSG00000100376	ENST00000216214	FAM118A	22
ENSG00000197938	ENST00000355273	OR5H2	3
ENSG00000163406	ENST00000489711	SLC15A2	3
ENSG00000065802	ENST00000264607	ASB1	2
ENSG00000171402	ENST00000346279	XAGE3	X
ENSG00000186684	ENST00000335247	CYP27C1	2
ENSG00000196437	ENST00000316950	ZNF569	19
ENSG00000173409	ENST00000310256	ARV1	1
ENSG00000173889	ENST00000495893	PHC3	3
ENSG00000160058	ENST00000341071	BSDC1	1
ENSG00000155846	ENST00000309241	PPARGC1B	5
ENSG00000187175	ENST00000391617	KRTAP12-1	21
ENSG00000172260	ENST00000357731	NEGR1	1
ENSG00000139289	ENST00000266671	PHLDA1	12
ENSG00000106261	ENST00000324306	ZKSCAN1	7
ENSG00000270181	ENST00000639435	BIVM-ERCC5	13
ENSG00000249693	ENST00000512175	THEGL	4
ENSG00000009830	ENST00000261534	POMT2	14
ENSG00000164309	ENST00000446378	CMYA5	5
ENSG00000155621	ENST00000334731	C9orf85	9
ENSG00000128050	ENST00000399688	PAICS	4
ENSG00000177800	ENST00000323223	TMEM78	1
ENSG00000257315	ENST00000550078	ZBED6	1
ENSG00000129315	ENST00000261900	CCNT1	12
ENSG00000175820	ENST00000322527	CCDC168	13
ENSG00000196890	ENST00000620438	HIST3H2BB	1
ENSG00000176428	ENST00000324941	VPS37D	7
ENSG00000164393	ENST00000296862	ADGRF2	6
ENSG00000187758	ENST00000209668	ADH1A	4
ENSG00000165795	ENST00000556147	NDRG2	14
ENSG00000160957	ENST00000617875	RECQL4	8
ENSG00000198674	ENST00000307002	OR10G6	11
ENSG00000196248	ENST00000531945	OR10S1	11
ENSG00000104879	ENST00000221476	CKM	19
ENSG00000139620	ENST00000420613	KANSL2	12
ENSG00000152092	ENST00000361833	ASTN1	1
ENSG00000116183	ENST00000367662	PAPPA2	1
ENSG00000059804	ENST00000075120	SLC2A3	12
ENSG00000155657	ENST00000589042	TTN	2
ENSG00000108587	ENST00000225724	GOSR1	17
ENSG00000112996	ENST00000507110	MRPS30	5
ENSG00000105643	ENST00000222250	ARRDC2	19
ENSG00000102145	ENST00000376670	GATA1	X
ENSG00000159346	ENST00000340990	ADIPOR1	1
ENSG00000053371	ENST00000235835	AKR7A2	1
ENSG00000268447	ENST00000612490	SSX2B	X
ENSG00000116161	ENST00000367679	CACYBP	1
ENSG00000138166	ENST00000369583	DUSP5	10
ENSG00000176402	ENST00000312891	GJC3	7
ENSG00000070019	ENST00000261170	GUCY2C	12
ENSG00000185905	ENST00000329410	C16orf54	16
ENSG00000100888	ENST00000646647	CHD8	14
ENSG00000165304	ENST00000298048	MELK	9
ENSG00000176230	ENST00000315543	OR4K17	14
ENSG00000116095	ENST00000234453	PLEKHA3	2
ENSG00000092009	ENST00000250378	CMA1	14
ENSG00000152683	ENST00000379343	SLC30A6	2
ENSG00000111639	ENST00000229238	MRPL51	12
ENSG00000117586	ENST00000281834	TNFSF4	1
ENSG00000153790	ENST00000409280	C7orf31	7
ENSG00000157404	ENST00000288135	KIT	4
ENSG00000010292	ENST00000315579	NCAPD2	12
ENSG00000166069	ENST00000319669	TMCO5A	15
ENSG00000162910	ENST00000430433	MRPL55	1
ENSG00000095110	ENST00000251921	NXPE1	11
ENSG00000196539	ENST00000359594	OR2T3	1
ENSG00000066827	ENST00000377838	ZFAT	8
ENSG00000076248	ENST00000242576	UNG	12
ENSG00000203661	ENST00000641363	OR2T5	1
ENSG00000072134	ENST00000314728	EPN2	17
ENSG00000154342	ENST00000284523	WNT3A	1
ENSG00000224940	ENST00000446477	PRRT4	7
ENSG00000115392	ENST00000402135	FANCL	2
ENSG00000117408	ENST00000372343	IPO13	1
ENSG00000188558	ENST00000641804	OR2G6	1
ENSG00000139645	ENST00000267116	ANKRD52	12
ENSG00000092531	ENST00000249647	SNAP23	15
ENSG00000143761	ENST00000541182	ARF1	1
ENSG00000182783	ENST00000641069	OR2T29	1
ENSG00000183310	ENST00000328782	OR2T34	1
ENSG00000180999	ENST00000367727	C1orf105	1
ENSG00000184022	ENST00000642090	OR2T10	1
ENSG00000279301	ENST00000641193	OR2T11	1
ENSG00000172058	ENST00000354833	SERF1A	5
ENSG00000177151	ENST00000641268	OR2T35	1
ENSG00000165762	ENST00000641885	OR4K2	14
ENSG00000187701	ENST00000641652	OR2T27	1
ENSG00000169126	ENST00000305242	ARMC4	10
ENSG00000189181	ENST00000342623	OR14I1	1
ENSG00000185483	ENST00000371079	ROR1	1
ENSG00000132718	ENST00000368324	SYT11	1
ENSG00000260596	ENST00000565211	DUX4	4
ENSG00000132855	ENST00000371129	ANGPTL3	1
ENSG00000117600	ENST00000370185	PLPPR4	1
ENSG00000240747	ENST00000418176	KRBOX1	3
ENSG00000173171	ENST00000368376	MTX1	1
ENSG00000079246	ENST00000392133	XRCC5	2
ENSG00000213265	ENST00000456951	TSGA13	7
ENSG00000243364	ENST00000427683	EFNA4	1
ENSG00000169242	ENST00000368407	EFNA1	1
ENSG00000135127	ENST00000397558	BICDL1	12
ENSG00000139574	ENST00000267017	NPFF	12
ENSG00000139971	ENST00000267485	C14orf37	14
ENSG00000067208	ENST00000540033	EVI5	1
ENSG00000143612	ENST00000368521	C1orf43	1
ENSG00000136048	ENST00000258534	DRAM1	12
ENSG00000232399	ENST00000429667	USP17L13	4
ENSG00000116205	ENST00000234827	TCEANC2	1
ENSG00000007968	ENST00000361729	E2F2	1
ENSG00000267534	ENST00000646641	S1PR2	19
ENSG00000163882	ENST00000429568	POLR2H	3
ENSG00000196405	ENST00000392920	EVL	14
ENSG00000244731	ENST00000428956	C4A	6
ENSG00000178922	ENST00000372434	HYI	1
ENSG00000124155	ENST00000279036	PIGT	20
ENSG00000188643	ENST00000368704	S100A16	1
ENSG00000196420	ENST00000368718	S100A5	1
ENSG00000159527	ENST00000290722	PGLYRP3	1
ENSG00000106153	ENST00000395422	CHCHD2	7
ENSG00000197747	ENST00000368811	S100A10	1
ENSG00000159445	ENST00000368814	THEM4	1
ENSG00000196407	ENST00000368817	THEM5	1
ENSG00000213171	ENST00000368820	LINGO4	1
ENSG00000145248	ENST00000273861	SLC10A4	4
ENSG00000234409	ENST00000439765	CCDC188	22
ENSG00000139131	ENST00000324868	YARS2	12
ENSG00000159479	ENST00000290663	MED8	1
ENSG00000143436	ENST00000368830	MRPL9	1
ENSG00000204219	ENST00000450454	TCEA3	1
ENSG00000075415	ENST00000228318	SLC25A3	12
ENSG00000140575	ENST00000268182	IQGAP1	15
ENSG00000110911	ENST00000394904	SLC11A2	12
ENSG00000214160	ENST00000397676	ALG3	3
ENSG00000092607	ENST00000369429	TBX15	1
ENSG00000168803	ENST00000562188	ADAL	15
ENSG00000250366	ENST00000503525	TUNAR	14
ENSG00000070961	ENST00000428670	ATP2B1	12
ENSG00000143450	ENST00000400999	OAZ3	1
ENSG00000152208	ENST00000282020	GRID2	4
ENSG00000162419	ENST00000294409	GMEB1	1
ENSG00000006282	ENST00000006658	SPATA20	17
ENSG00000241837	ENST00000290299	ATP5PO	21
ENSG00000146909	ENST00000275820	NOM1	7
ENSG00000075275	ENST00000262738	CELSR1	22
ENSG00000196505	ENST00000369443	GDAP2	1
ENSG00000140104	ENST00000547315	CLBA1	14
ENSG00000058799	ENST00000072644	YIPF1	1
ENSG00000170779	ENST00000336219	CDCA4	14
ENSG00000178796	ENST00000479191	RIIAD1	1
ENSG00000197905	ENST00000359864	TEAD4	12
ENSG00000134258	ENST00000369458	VTCN1	1
ENSG00000162374	ENST00000357083	ELAVL4	1
ENSG00000134253	ENST00000256649	TRIM45	1
ENSG00000172296	ENST00000399002	SPTLC3	20
ENSG00000134247	ENST00000393203	PTGFRN	1
ENSG00000139323	ENST00000313546	POC1B	12
ENSG00000257594	ENST00000529983	GALNT4	12
ENSG00000066322	ENST00000621943	ELOVL1	1
ENSG00000138738	ENST00000264808	PRDM5	4
ENSG00000163703	ENST00000326434	CRELD1	3
ENSG00000153936	ENST00000370550	HS2ST1	1
ENSG00000178104	ENST00000369356	PDE4DIP	1
ENSG00000111911	ENST00000229633	HINT3	6
ENSG00000050344	ENST00000056233	NFE2L3	7
ENSG00000059691	ENST00000263985	GATB	4
ENSG00000100445	ENST00000399395	SDR39U1	14
ENSG00000068903	ENST00000249396	SIRT2	19
ENSG00000173200	ENST00000464300	PARP15	3
ENSG00000283374	ENST00000383572	TXNRD3NB	3
ENSG00000167130	ENST00000372546	DOLPP1	9
ENSG00000182901	ENST00000366565	RGS7	1
ENSG00000196104	ENST00000357154	SPOCK3	4
ENSG00000182979	ENST00000331320	MTA1	14
ENSG00000206483	ENST00000404489	TXNRD3NB	3
ENSG00000151611	ENST00000281317	MMAA	4
ENSG00000179862	ENST00000372638	CITED4	1
ENSG00000119231	ENST00000323460	SENP5	3
ENSG00000114805	ENST00000340059	PLCH1	3
ENSG00000154734	ENST00000284984	ADAMTS1	21
ENSG00000163803	ENST00000327757	PLB1	2
ENSG00000016602	ENST00000370563	CLCA4	1
ENSG00000165417	ENST00000553612	GTF2A1	14
ENSG00000187994	ENST00000591812	RINL	19
ENSG00000131558	ENST00000253861	EXOC4	7
ENSG00000100596	ENST00000216484	SPTLC2	14
ENSG00000108344	ENST00000264639	PSMD3	17
ENSG00000117758	ENST00000373943	STX12	1
ENSG00000180917	ENST00000338099	CMTR2	16
ENSG00000109265	ENST00000264229	KIAA1211	4
ENSG00000166265	ENST00000299340	CYYR1	21
ENSG00000131778	ENST00000369258	CHD1L	1
ENSG00000120910	ENST00000397775	PPP3CC	8
ENSG00000163960	ENST00000296328	UBXN7	3
ENSG00000132938	ENST00000612955	MTUS2	13
ENSG00000104974	ENST00000251372	LILRA1	19
ENSG00000203778	ENST00000368656	FAM229B	6
ENSG00000180758	ENST00000377411	GPR157	1
ENSG00000189227	ENST00000342683	C15orf61	15
ENSG00000198113	ENST00000357503	TOR4A	9
ENSG00000163959	ENST00000296327	SLC51A	3
ENSG00000056277	ENST00000370978	ZNF280C	X
ENSG00000213865	ENST00000519561	C8orf44	8
ENSG00000103495	ENST00000219782	MAZ	16
ENSG00000196981	ENST00000330689	WDR5B	3
ENSG00000179094	ENST00000317276	PER1	17
ENSG00000103111	ENST00000248248	MON1B	16
ENSG00000215784	ENST00000400889	FAM72D	1
ENSG00000279051	ENST00000302622	OR6Q1	11
ENSG00000141232	ENST00000499247	TOB1	17
ENSG00000153898	ENST00000370608	MCOLN2	1
ENSG00000152592	ENST00000339673	DMP1	4
ENSG00000116455	ENST00000235090	WDR77	1
ENSG00000156709	ENST00000287295	AIFM1	X
ENSG00000234289	ENST00000599962	H2BFS	21
ENSG00000136521	ENST00000259037	NDUFB5	3
ENSG00000127993	ENST00000265732	RBM48	7
ENSG00000188782	ENST00000456354	CATSPER4	1
ENSG00000138246	ENST00000260818	DNAJC13	3
ENSG00000167733	ENST00000616276	HSD11B1L	19
ENSG00000179256	ENST00000316048	SMCO3	12
ENSG00000167117	ENST00000643007	LINC00483	17
ENSG00000145103	ENST00000462014	ILDR1	3
ENSG00000160799	ENST00000292314	CCDC12	3
ENSG00000116791	ENST00000417775	CRYZ	1
ENSG00000180806	ENST00000303450	HOXC9	12
ENSG00000124249	ENST00000372861	KCNK15	20
ENSG00000135932	ENST00000258418	CAB39	2
ENSG00000095787	ENST00000354911	WAC	10
ENSG00000162951	ENST00000295057	LRRTM1	2
ENSG00000021645	ENST00000635466	NRXN3	14
ENSG00000177674	ENST00000314340	AGTRAP	1
ENSG00000185038	ENST00000610772	MROH2A	2
ENSG00000125744	ENST00000245923	RTN2	19
ENSG00000163531	ENST00000339876	NFASC	1
ENSG00000135245	ENST00000257696	HILPDA	7
ENSG00000152910	ENST00000611870	CNTNAP4	16
ENSG00000258289	ENST00000607599	CHURC1	14
ENSG00000139722	ENST00000267202	VPS37B	12
ENSG00000177614	ENST00000391860	PGBD5	1
ENSG00000241123	ENST00000400372	KRTAP10-5	21
ENSG00000071462	ENST00000423497	BUD23	7
ENSG00000182004	ENST00000414487	SNRPE	1
ENSG00000130787	ENST00000253083	HIP1R	12
ENSG00000140153	ENST00000424963	WDR20	14
ENSG00000196503	ENST00000360096	ARL9	4
ENSG00000178188	ENST00000322610	SH2B1	16
ENSG00000165943	ENST00000556883	MOAP1	14
ENSG00000104892	ENST00000391946	KLC3	19
ENSG00000154370	ENST00000284551	TRIM11	1
ENSG00000102393	ENST00000218516	GLA	X
ENSG00000257529	ENST00000409170	RPL36A-HNRNPH2	X
ENSG00000100354	ENST00000454349	TNRC6B	22
ENSG00000253548	ENST00000518817	PYDC2	3
ENSG00000197245	ENST00000374268	FAM110D	1
ENSG00000164815	ENST00000297431	ORC5	7
ENSG00000183114	ENST00000332947	FAM43B	1
ENSG00000116147	ENST00000367674	TNR	1
ENSG00000187754	ENST00000298181	SSX7	X
ENSG00000120332	ENST00000239462	TNN	1
ENSG00000176393	ENST00000295640	RNPEP	1
ENSG00000119401	ENST00000450136	TRIM32	9
ENSG00000174442	ENST00000307897	ZWILCH	15
ENSG00000182866	ENST00000336890	LCK	1
ENSG00000163435	ENST00000359651	ELF3	1
ENSG00000132254	ENST00000614314	ARFIP2	11
ENSG00000039537	ENST00000263413	C6	5
ENSG00000160219	ENST00000424127	GAB3	X
ENSG00000115488	ENST00000233840	NEU2	2
ENSG00000198104	ENST00000641644	OR2T6	1
ENSG00000177212	ENST00000641220	OR2T33	1
ENSG00000173905	ENST00000470487	GOLIM4	3
ENSG00000177462	ENST00000641945	OR2T8	1
ENSG00000175121	ENST00000372789	WFDC5	20
ENSG00000172824	ENST00000540947	CES4A	16
ENSG00000160446	ENST00000372663	ZDHHC12	9
ENSG00000131148	ENST00000253457	EMC8	16
ENSG00000197734	ENST00000355883	C14orf178	14
ENSG00000253953	ENST00000519479	PCDHGB4	5
ENSG00000147573	ENST00000315962	TRIM55	8
ENSG00000095596	ENST00000224356	CYP26A1	10
ENSG00000105379	ENST00000354232	ETFB	19
ENSG00000167685	ENST00000337080	ZNF444	19
ENSG00000108255	ENST00000225387	CRYBA1	17
ENSG00000138190	ENST00000260762	EXOC6	10
ENSG00000112378	ENST00000421351	PERP	6
ENSG00000136367	ENST00000419474	ZFHX2	14
ENSG00000176884	ENST00000371553	GRIN1	9
ENSG00000132016	ENST00000346736	C19orf57	19
ENSG00000160633	ENST00000588852	SAFB	19
ENSG00000184787	ENST00000345496	UBE2G2	21
ENSG00000134769	ENST00000598334	DTNA	18
ENSG00000166575	ENST00000305494	TMEM135	11
ENSG00000197982	ENST00000373042	C1orf122	1
ENSG00000117477	ENST00000367806	CCDC181	1
ENSG00000101082	ENST00000262866	SLA2	20
ENSG00000105428	ENST00000222033	ZNRF4	19
ENSG00000160050	ENST00000421922	CCDC28B	1
ENSG00000166441	ENST00000314138	RPL27A	11
ENSG00000261794	ENST00000566740	GOLGA8H	15
ENSG00000188676	ENST00000502986	IDO2	8
ENSG00000143751	ENST00000272091	SDE2	1
ENSG00000184508	ENST00000394272	HDDC3	15
ENSG00000119720	ENST00000354366	NRDE2	14
ENSG00000007952	ENST00000372966	NOX1	X
ENSG00000159259	ENST00000314103	CHAF1B	21
ENSG00000161921	ENST00000293778	CXCL16	17
ENSG00000147202	ENST00000324765	DIAPH2	X
ENSG00000182938	ENST00000580749	OTOP3	17
ENSG00000143195	ENST00000271417	ILDR2	1
ENSG00000106609	ENST00000341567	TMEM248	7
ENSG00000144802	ENST00000326172	NFKBIZ	3
ENSG00000165282	ENST00000378617	PIGO	9
ENSG00000143748	ENST00000281701	NVL	1
ENSG00000124882	ENST00000244869	EREG	4
ENSG00000151348	ENST00000395673	EXT2	11
ENSG00000204677	ENST00000398106	FAM153C	5
ENSG00000171056	ENST00000304501	SOX7	8
ENSG00000175325	ENST00000308304	PROP1	5
ENSG00000103888	ENST00000394685	CEMIP	15
ENSG00000140259	ENST00000267812	MFAP1	15
ENSG00000152284	ENST00000282111	TCF7L1	2
ENSG00000213214	ENST00000378115	ARHGEF35	7
ENSG00000175283	ENST00000372586	DOLK	9
ENSG00000185448	ENST00000346193	FAM47A	X
ENSG00000104755	ENST00000265708	ADAM2	8
ENSG00000181817	ENST00000315732	LSM10	1
ENSG00000006071	ENST00000302539	ABCC8	11
ENSG00000167258	ENST00000447079	CDK12	17
ENSG00000101204	ENST00000370263	CHRNA4	20
ENSG00000102978	ENST00000219252	POLR2C	16
ENSG00000066422	ENST00000312938	ZBTB11	3
ENSG00000002822	ENST00000406869	MAD1L1	7
ENSG00000088256	ENST00000078429	GNA11	19
ENSG00000101290	ENST00000460006	CDS2	20
ENSG00000214517	ENST00000398427	PPME1	11
ENSG00000186310	ENST00000373079	NAP1L3	X
ENSG00000171469	ENST00000302851	ZNF561	19
ENSG00000056972	ENST00000340026	TRAF3IP2	6
ENSG00000170927	ENST00000371117	PKHD1	6
ENSG00000277791	ENST00000619426	PSMB3	17
ENSG00000196620	ENST00000338206	UGT2B15	4
ENSG00000070814	ENST00000377797	TCOF1	5
ENSG00000184304	ENST00000415220	PRKD1	14
ENSG00000140395	ENST00000267973	WDR61	15
ENSG00000151743	ENST00000281471	AMN1	12
ENSG00000137460	ENST00000511601	FHDC1	4
ENSG00000157077	ENST00000287727	ZFYVE9	1
ENSG00000213512	ENST00000294671	GBP7	1
ENSG00000159958	ENST00000291232	TNFRSF13C	22
ENSG00000161813	ENST00000429001	LARP4	12
ENSG00000147262	ENST00000276218	GPR119	X
ENSG00000080031	ENST00000376350	PTPRH	19
ENSG00000260734	ENST00000561754	TLE7	16
ENSG00000111344	ENST00000546530	RASAL1	12
ENSG00000114698	ENST00000354952	PLSCR4	3
ENSG00000106537	ENST00000262067	TSPAN13	7
ENSG00000132639	ENST00000254976	SNAP25	20
ENSG00000006534	ENST00000342456	ALDH3B1	11
ENSG00000127955	ENST00000351004	GNAI1	7
ENSG00000187094	ENST00000396169	CCK	3
ENSG00000117472	ENST00000372003	TSPAN1	1
ENSG00000115221	ENST00000283249	ITGB6	2
ENSG00000196228	ENST00000329106	SULT1C3	2
ENSG00000151726	ENST00000515030	ACSL1	4
ENSG00000070476	ENST00000389709	ZXDC	3
ENSG00000111536	ENST00000229134	IL26	12
ENSG00000097033	ENST00000616170	SH3GLB1	1
ENSG00000077522	ENST00000542672	ACTN2	1
ENSG00000137975	ENST00000370565	CLCA2	1
ENSG00000164924	ENST00000395957	YWHAZ	8
ENSG00000215187	ENST00000399742	FAM166B	9
ENSG00000111530	ENST00000545606	CAND1	12
ENSG00000181744	ENST00000315691	C3orf58	3
ENSG00000111046	ENST00000228641	MYF6	12
ENSG00000162600	ENST00000371226	OMA1	1
ENSG00000204642	ENST00000259951	HLA-F	6
ENSG00000163728	ENST00000296015	TTC14	3
ENSG00000139173	ENST00000266534	TMEM117	12
ENSG00000188739	ENST00000408888	RBM34	1
ENSG00000189409	ENST00000356026	MMP23B	1
ENSG00000116473	ENST00000369709	RAP1A	1
ENSG00000164574	ENST00000297107	GALNT10	5
ENSG00000160256	ENST00000291634	FAM207A	21
ENSG00000174080	ENST00000310325	CTSF	11
ENSG00000147724	ENST00000395297	FAM135B	8
ENSG00000242732	ENST00000609883	RTL5	X
ENSG00000266733	ENST00000580161	TBC1D29	17
ENSG00000158715	ENST00000367145	SLC45A3	1
ENSG00000164161	ENST00000296575	HHIP	4
ENSG00000144426	ENST00000449802	NBEAL1	2
ENSG00000127311	ENST00000247815	HELB	12
ENSG00000185274	ENST00000333538	GALNT17	7
ENSG00000197181	ENST00000356766	PIWIL2	8
ENSG00000170837	ENST00000304411	GPR27	3
ENSG00000118816	ENST00000237654	CCNI	4
ENSG00000130176	ENST00000252456	CNN1	19
ENSG00000096996	ENST00000600835	IL12RB1	19
ENSG00000198520	ENST00000458657	C1orf228	1
ENSG00000139055	ENST00000266397	ERP27	12
ENSG00000182993	ENST00000330828	C12orf60	12
ENSG00000163623	ENST00000295886	NKX6-1	4
ENSG00000140057	ENST00000267584	AK7	14
ENSG00000077935	ENST00000357450	SMC1B	22
ENSG00000167522	ENST00000301030	ANKRD11	16
ENSG00000072062	ENST00000308677	PRKACA	19
ENSG00000100288	ENST00000406938	CHKB	22
ENSG00000179593	ENST00000380183	ALOX15B	17
ENSG00000167302	ENST00000300714	TEPSIN	17
ENSG00000139438	ENST00000538780	FAM222A	12
ENSG00000183323	ENST00000396496	CCDC125	5
ENSG00000239900	ENST00000623063	ADSL	22
ENSG00000164100	ENST00000296499	NDST3	4
ENSG00000158195	ENST00000618852	WASF2	1
ENSG00000175329	ENST00000308700	ISX	22
ENSG00000135253	ENST00000610776	KCP	7
ENSG00000132915	ENST00000255266	PDE6A	5
ENSG00000188566	ENST00000371521	NDOR1	9
ENSG00000254997	ENST00000528743	KRTAP5-9	11
ENSG00000254685	ENST00000370898	FPGT	1
ENSG00000116353	ENST00000263702	MECR	1
ENSG00000164983	ENST00000297632	TMEM65	8
ENSG00000180336	ENST00000409122	MEIOC	17
ENSG00000180329	ENST00000315286	CCDC43	17
ENSG00000246705	ENST00000544848	H2AFJ	12
ENSG00000158669	ENST00000396987	GPAT4	8
ENSG00000100373	ENST00000216211	UPK3A	22
ENSG00000104824	ENST00000221419	HNRNPL	19
ENSG00000141854	ENST00000587086	MISP3	19
ENSG00000204394	ENST00000375663	VARS	6
ENSG00000248144	ENST00000515683	ADH1C	4
ENSG00000179598	ENST00000321560	PLD6	17
ENSG00000221859	ENST00000380095	KRTAP10-10	21
ENSG00000212935	ENST00000391620	KRTAP10-3	21
ENSG00000156345	ENST00000325303	CDK20	9
ENSG00000143842	ENST00000367204	SOX13	1
ENSG00000215454	ENST00000400374	KRTAP10-4	21
ENSG00000272804	ENST00000609664	KRTAP10-7	21
ENSG00000184887	ENST00000392554	BTBD6	14
ENSG00000134222	ENST00000369909	PSRC1	1
ENSG00000183318	ENST00000328794	SPDYE4	17
ENSG00000161547	ENST00000392485	SRSF2	17
ENSG00000079557	ENST00000226355	AFM	4
ENSG00000116688	ENST00000235329	MFN2	1
ENSG00000168148	ENST00000366696	HIST3H3	1
ENSG00000143126	ENST00000271332	CELSR2	1
ENSG00000077498	ENST00000263321	TYR	11
ENSG00000114248	ENST00000316428	LRRC31	3
ENSG00000186184	ENST00000302979	POLR1D	13
ENSG00000196900	ENST00000357147	TEX43	5
ENSG00000037637	ENST00000375592	FBXO42	1
ENSG00000138207	ENST00000371467	RBP4	10
ENSG00000123349	ENST00000551018	PFDN5	12
ENSG00000180353	ENST00000314583	HCLS1	3
ENSG00000254737	ENST00000641521	OR10G4	11
ENSG00000133055	ENST00000255416	MYBPH	1
ENSG00000152102	ENST00000409185	FAM168B	2
ENSG00000205835	ENST00000442080	GMNC	3
ENSG00000170509	ENST00000328546	HSD17B13	4
ENSG00000117153	ENST00000367261	KLHL12	1
ENSG00000164897	ENST00000392818	TMUB1	7
ENSG00000105954	ENST00000222674	NPVF	7
ENSG00000128052	ENST00000645273	KDR	4
ENSG00000144642	ENST00000383767	RBMS3	3
ENSG00000126953	ENST00000372902	TIMM8A	X
ENSG00000090097	ENST00000461554	PCBP4	3
ENSG00000133026	ENST00000360416	MYH10	17
ENSG00000166579	ENST00000334527	NDEL1	17
ENSG00000176253	ENST00000641664	OR4K13	14
ENSG00000105642	ENST00000222249	KCNN1	19
ENSG00000065923	ENST00000616978	SLC9A7	X
ENSG00000135436	ENST00000257894	FAM186B	12
ENSG00000163431	ENST00000367288	LMOD1	1
ENSG00000119669	ENST00000238647	IRF2BPL	14
ENSG00000189051	ENST00000399398	RNF222	17
ENSG00000175309	ENST00000308158	PHYKPL	5
ENSG00000155249	ENST00000641429	OR4K1	14
ENSG00000005238	ENST00000378561	FAM214B	9
ENSG00000094975	ENST00000367723	SUCO	1
ENSG00000109861	ENST00000227266	CTSC	11
ENSG00000134440	ENST00000256854	NARS	18
ENSG00000158006	ENST00000374282	PAFAH2	1
ENSG00000071246	ENST00000167106	VASH1	14
ENSG00000162241	ENST00000398802	SLC25A45	11
ENSG00000177201	ENST00000641276	OR2T12	1
ENSG00000167208	ENST00000330943	SNX20	16
ENSG00000279263	ENST00000623922	OR2L8	1
ENSG00000178498	ENST00000551632	DTX3	12
ENSG00000224712	ENST00000552140	NPIPA3	16
ENSG00000284824	ENST00000617752	GCSAML-AS1	1
